id,fo4,vr,status,name
9145,0x145a67438,0x145ac9604,2,DAT_145a67438
9190,0x14126ff20,0x1412f20c0,4,FUN_14126ff20
9193,0x140c257e0,0x140c398b0,4,FUN_140c257e0
9208,0x14014ceb0,0x140153ae0,2,FUN_14014ceb0
9212,0x141c86c80,0x141d06aa0,4,FUN_141c86c80
9236,0x1401f41c0,0x140203af0,2,FUN_1401f41c0
9250,0x14056cf30,0x140557a50,4,FUN_14056cf30
9254,0x141d81840,0x141e09f60,4,FUN_141d81840
9314,0x145be808c,0x145c40a1c,2,DAT_145be808c
9349,0x14192c880,0x1419aebb0,4,FUN_14192c880
9354,0x1407b5ff0,0x1407a4580,2,FUN_1407b5ff0
9369,0x14372aa58,0x143752c90,2,DAT_14372aa58
9378,0x142dbb008,0x142dfcbc8,2,PTR_FUN_142dbb008
9382,0x14302bd10,0x143071ee0,2,s_Ignoring_incorrect_cHRM_white(@1_14302bd10
9402,0x1410b7960,0x1411396a0,4,FUN_1410b7960
